,CQ ID,Coverage,exp.,CQ,"Bibl. 
data","Music 
data","Ling. 
data","User 
data","Main 
entities","Additional 
entities/props","Include
in indexes",Input,Path,Output,"Web 
page","Search 
interface",Visual.,"Viz. 
type","Results 
aggregation","Aggregation
type",Notes
Sonia,Sonia2-CQ6,full,-,Is a musical piece connected to another musical piece by common people?,yes,no,no,no,"Music work: composer; Musical performance: performer, musical composition",,yes,Music work,any > Agent > any,Music work,maybe,yes,maybe,graph network,maybe,by frequency,
Sofia,Sofia1-CQ1,partial,-,"What was the composer’s network (patrons, institutions …)?",yes,no,yes,no,,Performer: relatedTo,no,Agent,any,Agent,yes,no,yes,graph network,yes,by frequency,
Sofia,Sofia1-CQ1.1,partial,-,What is the “intellectual framework” of a musician? which explains why certain music was played and how it was played,yes,no,yes,no,,_vague,no,Agent,any,Agent,yes,no,yes,graph network,yes,by frequency,
Sofia,Sofia1-CQ2,partial,-,"What relationships exist between different sources of information, e.g. payslips and accounts?",yes,no,yes,no,,_vague,no,Source,any,Source,yes,yes,maybe,graph network,no,,
Sofia,Sofia2-CQ7,partial,-,"In early written music, what is left of the preceding unwritten tradition?",yes,yes,no,no,Music work: date,,no,Music work,unclear,Music work,maybe,maybe,maybe,graph network,maybe,,
Sofia,Sofia2-CQ7.1,partial,-,What are the sources the musician used?,yes,no,yes,no,"Music work: composer, source",,no,Agent,composer (inverse) > Music work > related to,Source,yes,no,no,,no,,
Sofia,Sofia2-CQ7.2,partial,-,"What sources, musicians, traditions influenced the musician?",yes,yes,no,no,"Music work: composer, source",,no,Agent,composer (inverse) > Music work > unclear,Agent,yes,no,no,,no,,
Sofia,Sofia2-CQ8,partial,-,"How does the corpus of a composer compare with that of other composers, particularly those writing at the same time?",yes,yes,yes,no,Music work: composer,,no,Collection,composition > Music work > any,Annotation,maybe,yes,yes,bar chart,maybe,,
Sonia,Sonia1-CQ11,partial,-,Which is the source of the excerpt of the lyrics?,yes,no,yes,no,,Musical work: lyrics,no,Annotation,source,Source,maybe,maybe,no,,no,,
Sonia,Sonia1-CQ12,partial,,"Is there a person mentioned in the excerpt of the lyrics? If yes, what background information is available for him/her?",yes,no,yes,no,Musical work: source,Musical work: lyrics; Source: hasSubject,no,Annotation,subject,Agent,maybe,maybe,,,no,,
Sonia,Sonia2-CQ1,partial,-,What is the connection between two musical pieces?,yes,yes,yes,no,Music work: all; Musical performance: all,,yes,Music work,any,Music work,maybe,maybe,maybe,graph network,maybe,by frequency,
Sonia,Sonia2-CQ3,partial,-,Which feature is selected to create the shuffle?,yes,yes,yes,yes,,,yes,Collection,type,Type,yes,no,no,,no,,"MD: this question seems odd. If it's a shuffle, the criterion should be random, right?"
Sonia,Sonia2-CQ5,partial,-,Which is the immediate previous/next musical piece?,yes,yes,yes,yes,Music work: all; Musical performance: all,,yes,Music work,follows (in playlist),Music work,yes,no,no,,no,,
William,William1- CQ10,full,,"Inspect the degree to which metadata fields have been filled across the collections, see trends and gaps?",yes,no,no,no,all fields filled in for the chosen collections and the works contained in them,Collection: composition,no,Collection,any,Annotation,yes,no,maybe,bar chart,maybe,by frequency,"can also be multiple collections, user may select specific metadata fields"
William,William1- CQ8,full,,Provide overviews of the occurrences of search results across certain time periods or genres.,yes,no,no,no,Music work: date,Musical performance: date,no,Collection,any,Annotation,no,yes,yes,timeline,maybe,,
William,William1- CQ9,full,,What is the relevant metadata for music collections and what do the different fields mean?,yes,no,no,no,all fields filled in for the chosen collections and the works contained in them,Collection: all,no,Collection,any,Annotation,yes,no,no,,maybe,,"can also be multiple collections, user may select specific metadata fields. We can derive the used metadata fields dynamically, or they could be part of the data model for a collection. We also need to show metadata field descriptions here, this is missing from the model at present"
William,William1-CQ1,full,,In which collections/datasets does a song occur?,yes,no,no,no,,Collection: composition,no,Music work,part of,Collection,yes,maybe,no,,maybe,,"how do we determine 'occurrence'? I'm guessing the IDs will be different, so, matching on title...?"
William,William1-CQ2,full,,In which countries does a song occur?,yes,no,no,no,Music work: place of production,,yes,Music work,place of production,Place,yes,maybe,yes,map,maybe,,"is this about works or performances? How do we model that a song occurs in certain countries, does the Music work get multiple 'place of production', or are there multiple Music works linked in some way, or do we need to match based on titles etc...?"
William,William1-CQ3,full,,Which compositions match with William's thematic focus for the exhibition?,yes,no,no,no,"Music work: place of production, date, genre",,yes,Annotation,any,Music work,no,yes,no,,yes,by collection,
William,William1-CQ3,full,A,Which is the thematic focus of a composition?,yes,no,no,no,"Music work: place of production, date, genre",,yes,Music work,subject,Annotation,yes,no,no,,no,,user determines the thematic focus themselves by looking at values
William,William1-CQ3,full,B,Which is the thematic focus of an exhibition?,yes,no,no,yes,Collection: subject,,yes,,,,,,,,,,"unless we want to store exhibitions as entities, this is just an idea of the user that they specify in search criteria"
William,William1-CQ4,full,,Which composers and performers are related to these compositions?,yes,no,no,no,"Music work: composer; Musical performance: composition, performer",,yes,,,,,,,,,,
William,William1-CQ4,full,A,Which is/are the composer(s) of a composition?,yes,no,no,no,Music work: composer,,yes,Music work,composer,Agent,yes,no,no,,maybe,,
William,William1-CQ4,full,B,Which is/are the performer(s) of a composition?,yes,no,no,no,"Musical performance: composition, performer",,yes,Music work,has performance > Musical performance > performer,Agent,yes,no,no,,maybe,,
William,William1-CQ6,full,,Under which titles is this song known? (multi-language),yes,no,no,no,Music work: title,,yes,Music work,title,Annotation,yes,no,no,,no,,
William,William1-CQ7,full,,"Providing a visualisation of relations between the relevant countries, compositions, composers and performers in the various collections and their changes over time",yes,no,no,no,"Music work: composer, date, place of production; Musical performance: musical composition, performer, time, place",Collection: composition,no,Collection,any,Annotation,no,yes,yes,graph network,maybe,,
Anna,Anna1-CQ1,none,-,What is the rhythm of the bass line?,no,yes,no,no,,,no,,,,,,,,,,
Anna,Anna1-CQ2,none,-,What is the rhythm of the electronic drum kit?,no,yes,no,no,,,no,,,,,,,,,,
Carolina,Carolina1-CQ20,none,-,How has someone spoken about a musical composition?,no,no,yes,no,,,no,,,,,,,,,,
Carolina,Carolina1-CQ21,none,-,How has someone spoken about a musical performance?,no,no,yes,no,,,no,,,,,,,,,,
David,David1-CQ11,none,-,"What did people ‘make of’, how did they react to, e.g. music?",no,no,yes,no,,,no,,,,,,,,,,
David,David1-CQ12,none,-,Who was the author of a piece of music? e.g. can we identify it by its incipit?,no,yes,no,no,,,no,,,,,,,,,,
David,David1-CQ12,none,B,Can we infer-detect the composer from the incipit?,no,yes,no,no,,,no,,,,,,,,,,
David,David1-CQ13,none,-,How is it possible to identify a composer by analysing the formal aspects of a music piece?,no,yes,no,no,,,no,,,,,,,,,,
David,David1-CQ4,none,-,What was source of money – e.g. for instruments?,no,no,yes,no,,,no,,,,,,,,,,
David,David1-CQ8,none,-,How were instruments sold?,no,no,yes,no,,,no,,,,,,,,,,
David,David1-CQ9,none,-,What was the sales pitch?,no,no,yes,no,,,no,,,,,,,,,,
Keith,Keith1-CQ2,none,-,Can we find music which has a non-obvious relation to some other music?,no,yes,yes,no,,,no,,,,,,,,,,
Keoma,Keoma1-CQ7,none,-,"Are there significant variations in the frequencies between the manually produced sound and the electric sound, such as to have repercussions on the soundscape?",no,yes,no,no,,,no,,,,,,,,,,
Mark,Mark1-CQ4,none,R,What is the musical form of a certain composition?,no,yes,no,no,,,no,,,,,,,,,,
Mark,Mark1-CQ5,none,A,Which tunes share a melodic pattern?,no,yes,no,no,,,no,,,,,,,,,,
Ortenz,Ortenz1-CQ18,none,-,What is the goal of the official sources?,no,no,yes,no,,,no,,,,,,,,,,
Ortenz,Ortenz1-CQ4,none,-,What are the goals of the source?,no,no,yes,no,,,no,,,,,,,,,,
Ortenz,Ortenz1-CQ5,none,-,What is the emotional response of music listeners/authors in both types of sources?,no,no,yes,no,,,no,,,,,,,,,,
Patrizia,Patrizia1-CQ4,none,-,Are there formalized transmission methods that characterize the acquisition of skills related to the bell practice?,no,no,yes,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ1,none,-,"To which modes Vide homo has been assigned to in Tonalities? Leonhard, Bernhard, Harold, Siegfried, Frans and Alexander relate the motet to the tonus peregrinus. Robert, however, considers the work to be written in the mixolydian mode.",no,yes,no,yes,,,no,,,,,,,,,,
Sethus,Sethus1-CQ1,none,R,Which modes a composition has been assigned to?,no,yes,no,yes,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2,none,-,"Are the criteria on which these interpretations are based true in the score and, if so, to what extent?",no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.1,none,-,What are the cadence points in the work?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.2,none,-,What are the part’s ranges? Do they correspond to modal octaves?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.2,none,A,What are the part’s ranges?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.2,none,B,Do the part’s ranges correspond to modal octaves?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.3,none,-,What is the final of the bassus?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.4,none,-,What is the last chord?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.5,none,-,Are there any melodic patterns related to modality?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.6,none,-,To what diatonic environment does the work belong to?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.7,none,-,What are the part’s clefs and keys?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.8,none,-,Are the theoretical models on which these criteria are based – for example the Zarlinian cadential scheme ^1-^3-^5 – in line with a work?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ2.9,none,-,What is the tension between the expected theoretical criteria and their actual realisation in a work?,no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ3,none,-,Can one assume that the modal ambiguity evidenced by the analytical interpretations is intended?,no,no,no,no,,,no,,,,,,,,,,
Sethus,Sethus1-CQ4,none,-,"Apart from Lasso’s possible exegetical intentions, what does this work tell us about the status of the modes at this moment in the history of composition?",,,,,,_vague,no,,,,,,,,,,
Sethus,Sethus1-CQ4,none,R,What does a work tell us about the status of the modes at a specific moment in the history of a composition?,,,,,,_vague,no,,,,,,,,,,
Sethus,Sethus1-CQ4.2,none,-,"Do other works come close, in terms of their inner properties, to what is observed here?",no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus2-CQ5,none,-,"Search operations should be expressed on either raw-level features (eg melodic lines) or higher-level features (eg modes, cadences, triad patterns, etc.). The systm should retrieve efficiently all sources that match the search pattern, and identifiy pattern occurrences",no,yes,no,no,,,no,,,,,,,,,,
Sethus,Sethus2-CQ6,none,-,A subset can be hierarchically refined based on criteria independant from on another and independant from the initial search pattern. The user can navigate in this hierarchy and refine the search.,no,yes,no,yes,,,no,,,,,,,,,,
Sethus,Sethus2-CQ7,none,-,"At each step, the result set takes the form of a subcorpus organized according to rich relationships, and enriched with user annotations",no,yes,no,yes,,,no,,,,,,,,,,
Sethus,Sethus2-CQ8,none,-,"A result set can be stored (in intention, not in extension) as a Relevant Corpus, and its definition can be revised at any moment",no,no,no,yes,,,no,,,,,,,,,,
Sethus,Sethus2-CQ9,none,-,Navigating through a Relevant Corpus is based on anotation and search patterns,no,yes,no,yes,,,no,,,,,,,,,,
Sofia,Sofia1-CQ3,none,-,"What parallels are there between the composition of music and the use of language, e.g. in the use of rhetorical delivery?",no,yes,yes,no,,,no,,,,,,,,,,
Sofia,Sofia1-CQ3.1,none,-,What rhetorical strategies are used in a piece of music?,no,yes,yes,no,,,no,,,,,,,,,,
Sofia,Sofia1-CQ4,none,-,"Why was a piece of music written to be evocative of something, e.g. the call of a cuckoo?",no,no,yes,no,,,no,,,,,,,,,,
Sofia,Sofia1-CQ4.1,none,-,What does music evoke?,no,yes,yes,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ10,none,-,"When a musical structure, e.g. a motif, is found in two composers, is one copied from the other, or do they come out of a previous tradition?",no,yes,no,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ5,none,-,What different motifs exist in a piece of music?,no,yes,no,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ6,none,-,"What relationships exist in a multi-line piece of music, i.e. over time and between the lines?",no,yes,no,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ8.1,none,-,"What are the similarities? motifs, harmony, text",no,yes,yes,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ8.1,none,R,"Which are the repeated melodic-rhythmic patterns (motifs) that appear in multiple pieces?
 Are those melodic-rhythmic patterns related to particular tonalities/ modalities (keys or modes)?",no,yes,no,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ8.1,none,A,Which is the motif of a composition?,no,yes,no,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ8.1,none,B,Which is the harmony of a composition?,no,yes,no,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ8.1,none,C,Which is the tonality of a composition?,no,yes,no,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ8.1,none,D,Which is the modality of a composition?,no,yes,no,no,,,no,,,,,,,,,,
Sofia,Sofia2-CQ9,none,-,"Can we use a statistical comparison, or a particular ‘thumbprint’ in the music, to identify the composer of a piece of music?",no,yes,no,no,,,no,,,,,,,,,,
Sonia,Sonia1-CQ10,none,-,Is the excerpt of the lyric featured in other musical pieces?,no,no,yes,no,,,no,Annotation,text (inverse),Music work,yes,maybe,no,,yes,by title,
Sonia,Sonia1-CQ3,none,-,Which is the melodic pattern of the musical piece?,no,yes,no,no,,,no,,,,,,,,,,
Sonia,Sonia1-CQ4,none,-,In which other musical pieces does the melodic pattern appear?,no,yes,no,no,,,no,,,,,,,,,,
Sonia,Sonia2-CQ4,none,-,What are the types of features that are used to create shuffles?,no,no,no,no,,,no,,,,,,,,,,
William,William1-CQ5,none,,In which historical documents is composer X mentioned?,no,no,yes,no,,,no,Agent,subject of,Source,yes,yes,no,,no,,
Ralph,Ralph1-CQ1,full,,Who is the poet (librettist) associated with a text?,yes,no,no,no,Music work: librettist,,,Music work,composer,Agent,yes,yes,no,,no,,
Ralph,Ralph1-CQ2,none,,What is the emotion represented by a portion of text (~140 categories)?,no,no,yes,no,Music work: text,,,Music work,text,Annotation,,,,,,,
Ralph,Ralph1-CQ3,none,,"How do libretto and music relate, e.g. in describing an emotion?",no,yes,yes,no,Music work: text,,,Music work,text,Annotation,,,,,,,
Ralph,Ralph1-CQ4,full,,"How does the presentation (text and music) of a work, e.g. an operatic aria, change over time, and depending on the artist?",yes,no,no,no,Music Work,"Music Work: has performance, date; Presentation: hasTextAndMusic",,Music work,has performance > Musical performance > date > Timespan; text > Annotation,property value,,,yes,timeline,yes,by timespan,
Ralph,Ralph1-CQ5,full,,"How have the music and libretto been influenced by the historical, e.g. social, political and cultural, environment?",yes,no,no,no,Music Work,Music work: related to,,Music work,related to,Event,,,no,,,,
Ralph,Ralph1-CQ6,none,,How can one describe and classify a scenario?,no,no,yes,no ,,,,,,,,,,,,,
Amy,Amy1-CQ1,full,,"Search organs with the possibility to combine searches, based on various features.",yes,no,no,no,Instrument: any,,,Instrument,any,Annotation,no,yes,no,,,,
Amy,Amy1-CQ2,full,,Is XX fact reliable? What are the sources of XX fact?,yes,no,no,no,Event: related to,,,Event,related to,Source,yes,yes,no,,,,
Amy,Amy1-CQ3,full,,What is left from the original organs built by XX organ builder? Where are these original components now?,yes,no,no,no,"Instrument: part, current place",,,Instrument,part > current place,Place,yes,,yes,map,,,
Amy,Amy1-CQ4,full,,Which changes have been made to the original organs? When were these changes made? Who made the changes? To what degree are the organs (or components of organs) in their original state?,yes,no,no,no,"Instrument: builder, current place, date",,,Instrument,part > current place > Place ; part > builder > Agent ; part > date > Timespan,property value,yes,,yes,timeline,,,
Amy,Amy1-CQ5,full,,What are the arthistorical features of the front of the organ? In which style is the organ built?,yes,no,no,no,Instrument: style; has feature,,,Instrument,style ; has feature,Annotation,yes,yes,no,,,,
Amy,Amy1-CQ6,full,,When (and why) was the organ moved? Where was the organ placed originally?,yes,no,no,no,,,,Instrument,moved to > Place ; moved at > Timespan; moved from > Place,property value,maybe,,,,,,
Amy,Amy1-CQ7,full,,Where can more information be found about a specific organ/organ builder/time period/location/etc.? / Which literature or resources contain information about a specific organ/organ builder/time period/location/etc.?,yes,no,no,no,,,,Instrument,related to,Source,yes,,,,,,
Amy,Amy1-CQ8,full,,Which organ builders worked on whose (original organ builder’s) organs?,yes,no,no,no,,,,Instrument,builder ,Agent,yes,yes,no,,yes,by agent,
Paul,Paul1-Q2,none,,"What are the technical features such as pitch, windpressure, and bellow type?",no,yes,no,no,,,,Instrument,has feature,Annotation,yes,yes,no,,,,
Paul,Paul1-Q3,full,,What materials is the casing made of?,yes,no,no,no,,,,Instrument,material,Annotation,yes,yes,no,,,,
Paul,Paul1-Q4,full,,What are the dispositions of all the organs made by XX organ builder?,yes,no,no,no,,,,Instrument,current place,Place,yes,yes,no,,,,
Paul,Paul1-Q5,full,,When have changes been made to the organ? What were these changes? Who made these changes?,yes,no,no,no,,,,Instrument,modified in,Event,yes,no,no,,yes,by timespan,
Paul,Paul2-Q6,full,,Is XX fact reliable? What are the sources of XX fact?,yes,no,no,no,,,,Event,related to,Source,yes,yes,no,,,,
Frank,Frank1-Q1,full,,"Search organs with the possibility to combine searches, based on various features. (In this scenario: city, building, organ builder, disposition)",yes,no,no,no,Instrument: any,,,Instrument,any,Annotation,no,yes,no,,,,
Frank,Frank1-Q2,full,,Which organ builders worked on whose (original organ builder’s) organs?,yes,no,no,no,,,,Instrument,builder ,Agent,yes,no,no,,yes,by count ,
Frank,Frank1-Q3,full,,Who built and/or renovated XX organ?,yes,no,no,no,,,,Instrument,builder ,Agent,yes,no,no,,yes,by count ,
Frank,Frank1-Q4,full,,What was the disposition of the organ at a specific point in time?,yes,no,no,no,,,,Instrument,has feature,Annotation,yes,no,no,,yes,by timespan,
Frank,Frank1-Q5,full,,Which organs have a similar disposition?,yes,no,no,no,,,,Instrument,related to,Instrument,yes,no,no,,,,
Frank,Frank1-Q6,full,,What does the organ look like?,yes,no,no,no,,,,Instrument,picture,Annotation,yes,yes,no,,,,
Frank,Frank1-Q7,full,,What are the arthistorical features of the front of the organ? In which style is the organ built?,yes,no,no,no,,,,Instrument,style ; has feature,Annotation,yes,yes,no,,,,
Frank,Frank1-Q8,full,,What are the decorative elements?,yes,no,no,no,,,,Instrument,style ; has feature,Annotation,yes,yes,no,,,,
Frank,Frank1-Q9,full,,Which organs are built in a similar style?,yes,no,no,no,,,,Instrument,related to,Instrument,yes,no,no,,,,
Laurent,Laurent1-Q1,full,,"Search for a musical content by applying filters (genre, historical period ...).",yes,no,no,yes,,,,Annotation,any,Web resource,yes,yes,no,,yes,by count ,
Laurent,Laurent1-Q2,full,,What types of resources can I find?,yes,no,no,no,,,,Web resource,any,Type,yes,yes,no,,,,
Laurent,Laurent1-Q3,full,,Is the music resource X complete or incomplete?,yes,no,no,no,,,,Web resource,completeness,Annotation,yes,no,,,,,
Laurent,Laurent1-Q4,full,,Is a dataset attached to resource X?,yes,no,no,no,,,,Web resource,related to,Web resource,yes,yes,,,,,
Laurent,Laurent1-Q5,full,,Can a user add resources?,yes,no,no,yes,,,,,,,,,,,,,
Laurent,Laurent1-Q6,full,,How can I share what I find on the site?,yes,no,no,no,,,,,,,,,,,,,
Andrea,Andrea1-Q1,full,,Can I find interesting materials without applying filters?,yes,no,no,no,,,,Text,any,Web resource,,,,,,,
Andrea,Andrea1-Q2,full,,What types of resources can I find?,yes,no,no,no,,,,Web resource,any,Type,yes,yes,no,,,,
Andrea,Andrea1-Q3,full,,Is there a way of visualizing all the materials connected to my interests?,yes,no,no,no,,,,Annotation,any,Web resource,yes,yes,no,,yes,by count ,
Andrea,Andrea1-Q4,full,,Can I keep getting suggestions in real time?,yes,no,no,no,,,,Annotation,any,Web resource,yes,yes,no,,yes,by count ,
Andrea,Andrea1-Q5,full,,How can I share what I find on the site?,yes,no,no,no,,,,,,,,,,,,,
Andrea,Andrea1-Q6,full,,How I personalize my navigation experience without knowing the filtering criteria or the materials' characteristics?,yes,no,no,no,,,,Annotation,any,Web resource,yes,yes,no,,yes,by count ,
